+--------+------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                            |
|   en   | helpers.submit.submit                                                        | Save %{model}                                                                                                                                                                                                                                                                                                                                                    |
|   en   | helpers.submit.update                                                        | Update %{model}                                                                                                                                                                                                                                                                                                                                                  |
|   en   | number.currency.format.delimiter                                             | ,                                                                                                                                                                                                                                                                                                                                                                |
|   en   | number.currency.format.format                                                | %u%n                                                                                                                                                                                                                                                                                                                                                             |
|   en   | number.currency.format.precision                                             | 2                                                                                                                                                                                                                                                                                                                                                                |
|   en   | number.currency.format.separator                                             | .                                                                                                                                                                                                                                                                                                                                                                |
|   en   | number.currency.format.significant                                           | Significant                                                                                                                                                                                                                                                                                                                                                      |
|   en   | number.currency.format.strip_insignificant_zeros                             | Strip insignificant zeros                                                                                                                                                                                                                                                                                                                                        |
|   en   | number.currency.format.unit                                                  | $                                                                                                                                                                                                                                                                                                                                                                |
|   en   | number.format.delimiter                                                      | ,                                                                                                                                                                                                                                                                                                                                                                |
|   en   | number.format.precision                                                      | 3                                                                                                                                                                                                                                                                                                                                                                |
|   en   | number.format.separator                                                      | .                                                                                                                                                                                                                                                                                                                                                                |
|   en   | number.format.significant                                                    | Significant                                                                                                                                                                                                                                                                                                                                                      |
|   en   | number.format.strip_insignificant_zeros                                      | Strip insignificant zeros                                                                                                                                                                                                                                                                                                                                        |
|   en   | number.human.decimal_units.format                                            | %n %u                                                                                                                                                                                                                                                                                                                                                            |
|   en   | number.human.decimal_units.units.billion.one                                 | billion                                                                                                                                                                                                                                                                                                                                                          |
|   en   | number.human.decimal_units.units.billion.other                               | billion                                                                                                                                                                                                                                                                                                                                                          |
|   en   | number.human.decimal_units.units.million.one                                 | million                                                                                                                                                                                                                                                                                                                                                          |
|   en   | number.human.decimal_units.units.million.other                               | million                                                                                                                                                                                                                                                                                                                                                          |
|   en   | number.human.decimal_units.units.quadrillion.one                             | quadrillion                                                                                                                                                                                                                                                                                                                                                      |
|   en   | number.human.decimal_units.units.quadrillion.other                           | quadrillion                                                                                                                                                                                                                                                                                                                                                      |
|   en   | number.human.decimal_units.units.thousand                                    | thousand                                                                                                                                                                                                                                                                                                                                                         |
|   en   | number.human.decimal_units.units.trillion.one                                | trillion                                                                                                                                                                                                                                                                                                                                                         |
|   en   | number.human.decimal_units.units.trillion.other                              | trillion                                                                                                                                                                                                                                                                                                                                                         |
|   en   | number.human.decimal_units.units.unit                                        | Unit                                                                                                                                                                                                                                                                                                                                                             |
|   en   | number.human.format.delimiter                                                | Delimiter                                                                                                                                                                                                                                                                                                                                                        |
|   en   | number.human.format.precision                                                | 1                                                                                                                                                                                                                                                                                                                                                                |
|   en   | number.human.format.significant                                              | true                                                                                                                                                                                                                                                                                                                                                             |
|   en   | number.human.format.strip_insignificant_zeros                                | true                                                                                                                                                                                                                                                                                                                                                             |
|   en   | number.human.storage_units.format                                            | %n %u                                                                                                                                                                                                                                                                                                                                                            |
|   en   | number.human.storage_units.units.byte.one                                    | Byte                                                                                                                                                                                                                                                                                                                                                             |
|   en   | number.human.storage_units.units.byte.other                                  | Bytes                                                                                                                                                                                                                                                                                                                                                            |
|   en   | number.human.storage_units.units.gb                                          | GB                                                                                                                                                                                                                                                                                                                                                               |
|   en   | number.human.storage_units.units.kb                                          | KB                                                                                                                                                                                                                                                                                                                                                               |
|   en   | number.human.storage_units.units.mb                                          | MB                                                                                                                                                                                                                                                                                                                                                               |
|   en   | number.human.storage_units.units.tb                                          | TB                                                                                                                                                                                                                                                                                                                                                               |
|   en   | number.percentage.format.delimiter                                           | Delimiter                                                                                                                                                                                                                                                                                                                                                        |
|   en   | number.precision.format.delimiter                                            | Delimiter                                                                                                                                                                                                                                                                                                                                                        |
|   en   | ordinal.eighth                                                               | Eight                                                                                                                                                                                                                                                                                                                                                            |
|   en   | ordinal.fifth                                                                | Fifth                                                                                                                                                                                                                                                                                                                                                            |
|   en   | ordinal.first                                                                | First                                                                                                                                                                                                                                                                                                                                                            |
|   en   | ordinal.fourth                                                               | Fourth                                                                                                                                                                                                                                                                                                                                                           |
|   en   | ordinal.ninth                                                                | Ninth                                                                                                                                                                                                                                                                                                                                                            |
|   en   | ordinal.second                                                               | Second                                                                                                                                                                                                                                                                                                                                                           |
|   en   | ordinal.seventh                                                              | Seventh                                                                                                                                                                                                                                                                                                                                                          |
|   en   | ordinal.sixth                                                                | Sixth                                                                                                                                                                                                                                                                                                                                                            |
|   en   | ordinal.third                                                                | Third                                                                                                                                                                                                                                                                                                                                                            |
|   en   | remove                                                                       | remove                                                                                                                                                                                                                                                                                                                                                           |
|   en   | show                                                                         | show                                                                                                                                                                                                                                                                                                                                                             |
|   en   | student_removal_lock.registration                                            | A person's scholarship record may not be removed if they have a registration entered in the system.                                                                                                                                                                                                                                                              |
|   en   | support.array.last_word_connector                                            | , and                                                                                                                                                                                                                                                                                                                                                            |
|   en   | support.array.two_words_connector                                            | and                                                                                                                                                                                                                                                                                                                                                              |
|   en   | support.array.words_connector                                                | ,                                                                                                                                                                                                                                                                                                                                                                |
|   en   | time.am                                                                      | am                                                                                                                                                                                                                                                                                                                                                               |
|   en   | time.formats.compact                                                         | %d/%b/%y, %H:%M:%S                                                                                                                                                                                                                                                                                                                                               |
|   en   | time.formats.default                                                         | %A %d %B %Y at %H:%Mh                                                                                                                                                                                                                                                                                                                                            |
|   en   | time.formats.full                                                            | %A, %d of %B %Y at %H:%M:%S                                                                                                                                                                                                                                                                                                                                      |
|   en   | time.formats.hms                                                             | %H:%M:%S                                                                                                                                                                                                                                                                                                                                                         |
|   en   | time.formats.long                                                            | %A the %d of %B %Y at %H:%Mh                                                                                                                                                                                                                                                                                                                                     |
|   en   | time.formats.short                                                           | %d/%m, %H:%M hs                                                                                                                                                                                                                                                                                                                                                  |
|   en   | time.pm                                                                      | pm                                                                                                                                                                                                                                                                                                                                                               |
|   en   | unauthorized.manage.all                                                      | Not allowed to %{action} %{subject}.                                                                                                                                                                                                                                                                                                                             |
|   en   | views.pagination.first                                                       | &laquo; First                                                                                                                                                                                                                                                                                                                                                    |
|   en   | views.pagination.last                                                        | Last &raquo;                                                                                                                                                                                                                                                                                                                                                     |
|   en   | views.pagination.next                                                        | Next &rsaquo;                                                                                                                                                                                                                                                                                                                                                    |
|   en   | views.pagination.previous                                                    | &lsaquo; Previous                                                                                                                                                                                                                                                                                                                                                |
|   en   | views.pagination.truncate                                                    | &hellip;                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | Total                                                                        | Total                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | abbreviation.pap                                                             | PAP                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activemodel.format                                                           | %{attribute} %{message}                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.annotation.virtual.manual                            | Manual                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | activerecord.attributes.degreetype.pap                                       | PAP                                                                                                                                                                                                                                                                                                                                                              |
